GameID,Week,HomeTeamGamesWon,HomeVsAwayGamesWon,DivisionGame
2010101003,5,2,-1,0
2010101001,5,3,1,0
2010101000,5,0,-2,0
2010101007,5,1,-2,0
2010101005,5,0,-3,0
2010101008,5,3,1,0
2010101006,5,2,0,0
2010101002,5,2,-1,0
2010101009,5,2,-1,0
2010101011,5,1,-1,1
2010101010,5,1,-1,0
2010101012,5,0,-2,0
2010101100,5,3,2,0
2010101701,6,2,0,0
2010101702,6,3,-1,0
2010101703,6,3,2,1
2010101707,6,4,2,0
2010101706,6,3,-1,0
2010101700,6,3,1,0
2010101708,6,3,0,1
2010101705,6,3,2,0
2010101704,6,3,0,0
2010101709,6,2,-2,0
2010101710,6,0,-2,0
2010101711,6,1,0,0
2010101712,6,3,0,0
2010101800,6,3,0,1
2010102402,7,4,4,0
2010102401,7,3,-1,0
2010102408,7,4,0,0
2010102404,7,4,3,0
2010102407,7,3,0,0
2010102406,7,0,-1,0
2010102403,7,3,0,0
2010102405,7,4,1,0
2010102400,7,4,2,0
2010102409,7,3,0,1
2010102410,7,2,-2,0
2010102411,7,2,0,1
2010102412,7,3,1,1
2010102500,7,1,-3,1
2010103105,8,3,2,0
2010103104,8,1,-3,0
2010103106,8,5,1,0
2010103101,8,1,-2,0
2010103102,8,2,-1,0
2010103100,8,1,-1,0
2010103103,8,4,4,0
2010103107,8,2,-3,0
2010103108,8,5,3,0
2010103109,8,3,-1,0
2010103110,8,3,-1,0
2010103111,8,4,-1,0
2010110100,8,4,0,1
2010110703,9,4,1,0
2010110701,9,5,1,0
2010110704,9,0,-4,0
2010110702,9,2,-4,0
2010110706,9,5,0,1
2010110700,9,2,-3,0
2010110707,9,1,-4,1
2010110705,9,2,-1,0
2010110708,9,4,-1,0
2010110710,9,4,-1,1
2010110709,9,4,-1,0
2010110711,9,5,4,0
2010110800,9,2,-3,1
2010111100,10,6,0,0
2010111401,10,3,-3,0
2010111402,10,5,3,0
2010111400,10,4,-1,0
2010111405,10,5,4,1
2010111404,10,5,2,1
2010111406,10,0,-2,0
2010111403,10,4,0,1
2010111407,10,2,-3,1
2010111408,10,6,5,1
2010111409,10,3,-1,1
2010111410,10,2,-2,1
2010111411,10,6,0,0
2010111500,10,4,-1,1
2010111800,11,5,-1,0
2010112105,11,2,0,0
2010112102,11,2,1,0
2010112103,11,6,1,0
2010112109,11,5,2,0
2010112104,11,5,2,0
2010112101,11,7,3,0
2010112108,11,5,1,0
2010112100,11,1,-5,0
2010112106,11,3,-3,1
2010112107,11,6,1,0
2010112110,11,4,-3,0
2010112111,11,3,-3,0
2010112112,11,7,1,0
2010112113,11,6,0,1
2010112200,11,4,1,1
2010112500,12,2,-6,0
2010112501,12,3,-4,0
2010112502,12,8,6,0
2010112800,12,6,0,0
2010112803,12,5,2,0
2010112801,12,2,-5,0
2010112805,12,8,1,0
2010112802,12,4,-1,1
2010112807,12,3,2,0
2010112809,12,5,0,0
2010112808,12,5,-1,0
2010112804,12,7,0,0
2010112806,12,7,0,0
2010112810,12,3,-1,0
2010112811,12,6,1,0
2010112900,12,3,0,1
2010120200,13,7,2,0
2010120504,13,7,2,1
2010120506,13,7,3,0
2010120501,13,6,2,0
2010120503,13,7,4,1
2010120505,13,2,-6,1
2010120502,13,5,-1,1
2010120508,13,2,-6,0
2010120500,13,4,2,0
2010120509,13,6,1,1
2010120510,13,6,3,0
2010120511,13,3,-2,1
2010120507,13,7,-2,1
2010120512,13,5,4,0
2010120513,13,8,0,1
2010120600,13,9,0,1
2010120900,14,5,-1,1
2010121201,14,2,-3,0
2010121202,14,9,7,1
2010121203,14,7,1,0
2010121207,14,1,-9,1
2010121205,14,2,-6,1
2010121204,14,5,-2,0
2010121208,14,9,3,0
2010121209,14,4,-2,1
2010121211,14,3,0,0
2010121210,14,9,3,1
2010121212,14,6,-2,1
2010121200,14,9,-1,0
2010121213,14,4,-4,1
2010121301,14,5,-3,0
2010121300,14,5,-3,0
2010121600,15,7,2,0
2010121900,15,6,-2,0
2010121901,15,7,4,1
2010121902,15,2,-3,1
2010121904,15,5,0,1
2010121903,15,7,-1,1
2010121906,15,9,0,1
2010121909,15,9,-1,0
2010121905,15,4,-1,1
2010121908,15,8,5,0
2010121907,15,1,-3,0
2010121910,15,6,-5,0
2010121911,15,10,1,0
2010121912,15,6,3,1
2010121913,15,11,3,0
2010122000,15,5,-4,1
2010122300,16,10,8,0
2010122500,16,4,-1,0
2010122606,16,6,1,1
2010122600,16,10,0,0
2010122601,16,4,-8,1
2010122602,16,5,-5,1
2010122603,16,9,3,0
2010122607,16,7,3,0
2010122608,16,8,3,0
2010122610,16,7,-1,0
2010122612,16,3,-5,0
2010122609,16,3,-2,0
2010122611,16,8,-1,0
2010122605,16,8,2,0
2010122700,16,12,2,1
2010122800,16,10,5,0
2011010212,17,11,2,1
2011010202,17,11,7,1
2011010203,17,5,-6,1
2011010200,17,13,6,1
2011010206,17,10,3,1
2011010211,17,12,10,1
2011010209,17,5,-1,1
2011010201,17,10,6,1
2011010204,17,5,-3,1
2011010213,17,4,-4,1
2011010207,17,10,5,1
2011010214,17,5,0,1
2011010210,17,9,-2,1
2011010205,17,9,3,1
2011010208,17,6,-3,1
2011010215,17,6,-1,1
2011090800,1,0,0,0
2011091107,1,0,0,0
2011091100,1,0,0,1
2011091102,1,0,0,1
2011091103,1,0,0,1
2011091101,1,0,0,1
2011091106,1,0,0,0
2011091104,1,0,0,0
2011091105,1,0,0,0
2011091109,1,0,0,0
2011091111,1,0,0,0
2011091110,1,0,0,1
2011091108,1,0,0,1
2011091112,1,0,0,0
2011091200,1,0,0,1
2011091201,1,0,0,1
2011091800,2,1,1,0
2011091803,2,1,0,0
2011091808,2,0,-1,0
2011091809,2,0,0,0
2011091807,2,0,-1,0
2011091804,2,0,0,0
2011091802,2,0,-1,0
2011091801,2,1,0,0
2011091805,2,1,0,0
2011091806,2,0,0,0
2011091810,2,1,1,0
2011091811,2,1,0,0
2011091812,2,0,-1,0
2011091813,2,0,-1,0
2011091814,2,0,-1,0
2011091900,2,0,0,0
2011092507,3,1,0,0
2011092504,3,1,0,0
2011092500,3,0,-1,0
2011092503,3,1,1,0
2011092501,3,1,-1,0
2011092502,3,2,0,1
2011092505,3,1,0,1
2011092506,3,0,-2,1
